Player,Rating,Year,Month,Source,Ranking,Last name,Champion,Champion status
Boris Spassky,2727,1976,5,chessmetrics,7,Spassky,Karpov 1,Not champion
Rafael Vaganian,2718,1976,5,chessmetrics,8,Vaganian,Karpov 1,Not champion
Ljubomir Ljubojevic,2716,1976,5,chessmetrics,9,Ljubojevic,Karpov 1,Not champion
Lajos Portisch,2716,1976,5,chessmetrics,10,Portisch,Karpov 1,Not champion
Anatoly Karpov,2807,1976,4,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2753,1976,4,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2744,1976,4,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2742,1976,4,chessmetrics,4,Petrosian,Karpov 1,Not champion
Efim Geller,2741,1976,4,chessmetrics,5,Geller,Karpov 1,Not champion
Mikhail Tal,2738,1976,4,chessmetrics,6,Tal,Karpov 1,Not champion
Boris Spassky,2726,1976,4,chessmetrics,7,Spassky,Karpov 1,Not champion
Lajos Portisch,2723,1976,4,chessmetrics,8,Portisch,Karpov 1,Not champion
Rafael Vaganian,2720,1976,4,chessmetrics,9,Vaganian,Karpov 1,Not champion
Ljubomir Ljubojevic,2717,1976,4,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2796,1976,3,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2750,1976,3,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2742,1976,3,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Efim Geller,2740,1976,3,chessmetrics,4,Geller,Karpov 1,Not champion
Tigran Petrosian,2740,1976,3,chessmetrics,5,Petrosian,Karpov 1,Not champion
Rafael Vaganian,2740,1976,3,chessmetrics,6,Vaganian,Karpov 1,Not champion
Mikhail Tal,2737,1976,3,chessmetrics,7,Tal,Karpov 1,Not champion
Boris Spassky,2724,1976,3,chessmetrics,8,Spassky,Karpov 1,Not champion
Lajos Portisch,2721,1976,3,chessmetrics,9,Portisch,Karpov 1,Not champion
Ljubomir Ljubojevic,2715,1976,3,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2796,1976,2,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2750,1976,2,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2742,1976,2,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2740,1976,2,chessmetrics,4,Petrosian,Karpov 1,Not champion
Efim Geller,2740,1976,2,chessmetrics,5,Geller,Karpov 1,Not champion
Rafael Vaganian,2737,1976,2,chessmetrics,6,Vaganian,Karpov 1,Not champion
Mikhail Tal,2736,1976,2,chessmetrics,7,Tal,Karpov 1,Not champion
Boris Spassky,2724,1976,2,chessmetrics,8,Spassky,Karpov 1,Not champion
Lajos Portisch,2722,1976,2,chessmetrics,9,Portisch,Karpov 1,Not champion
Ljubomir Ljubojevic,2715,1976,2,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2798,1976,1,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2760,1976,1,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2742,1976,1,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2741,1976,1,chessmetrics,4,Petrosian,Karpov 1,Not champion
Efim Geller,2740,1976,1,chessmetrics,5,Geller,Karpov 1,Not champion
Mikhail Tal,2737,1976,1,chessmetrics,6,Tal,Karpov 1,Not champion
Rafael Vaganian,2737,1976,1,chessmetrics,7,Vaganian,Karpov 1,Not champion
Boris Spassky,2724,1976,1,chessmetrics,8,Spassky,Karpov 1,Not champion
Lajos Portisch,2723,1976,1,chessmetrics,9,Portisch,Karpov 1,Not champion
Ljubomir Ljubojevic,2709,1976,1,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2799,1975,12,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2763,1975,12,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Tigran Petrosian,2742,1975,12,chessmetrics,3,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2742,1975,12,chessmetrics,4,Polugaevsky,Karpov 1,Not champion
Efim Geller,2739,1975,12,chessmetrics,5,Geller,Karpov 1,Not champion
Mikhail Tal,2738,1975,12,chessmetrics,6,Tal,Karpov 1,Not champion
Rafael Vaganian,2730,1975,12,chessmetrics,7,Vaganian,Karpov 1,Not champion
Boris Spassky,2726,1975,12,chessmetrics,8,Spassky,Karpov 1,Not champion
Lajos Portisch,2724,1975,12,chessmetrics,9,Portisch,Karpov 1,Not champion
Oleg Romanishin,2709,1975,12,chessmetrics,10,Romanishin,Karpov 1,Not champion
Anatoly Karpov,2800,1975,11,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2765,1975,11,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2742,1975,11,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Efim Geller,2741,1975,11,chessmetrics,4,Geller,Karpov 1,Not champion
Mikhail Tal,2733,1975,11,chessmetrics,5,Tal,Karpov 1,Not champion
Tigran Petrosian,2732,1975,11,chessmetrics,6,Petrosian,Karpov 1,Not champion
Rafael Vaganian,2732,1975,11,chessmetrics,7,Vaganian,Karpov 1,Not champion
Lajos Portisch,2727,1975,11,chessmetrics,8,Portisch,Karpov 1,Not champion
Boris Spassky,2725,1975,11,chessmetrics,9,Spassky,Karpov 1,Not champion
Ljubomir Ljubojevic,2710,1975,11,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2804,1975,10,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2770,1975,10,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2744,1975,10,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Mikhail Tal,2739,1975,10,chessmetrics,4,Tal,Karpov 1,Not champion
Tigran Petrosian,2734,1975,10,chessmetrics,5,Petrosian,Karpov 1,Not champion
Lajos Portisch,2730,1975,10,chessmetrics,6,Portisch,Karpov 1,Not champion
Rafael Vaganian,2729,1975,10,chessmetrics,7,Vaganian,Karpov 1,Not champion
Efim Geller,2726,1975,10,chessmetrics,8,Geller,Karpov 1,Not champion
Boris Spassky,2718,1975,10,chessmetrics,9,Spassky,Karpov 1,Not champion
Ljubomir Ljubojevic,2713,1975,10,chessmetrics,10,Ljubojevic,Karpov 1,Not champion
Anatoly Karpov,2807,1975,9,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2769,1975,9,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Lev Polugaevsky,2744,1975,9,chessmetrics,3,Polugaevsky,Karpov 1,Not champion
Mikhail Tal,2744,1975,9,chessmetrics,4,Tal,Karpov 1,Not champion
Tigran Petrosian,2733,1975,9,chessmetrics,5,Petrosian,Karpov 1,Not champion
Efim Geller,2726,1975,9,chessmetrics,6,Geller,Karpov 1,Not champion
Lajos Portisch,2726,1975,9,chessmetrics,7,Portisch,Karpov 1,Not champion
Boris Spassky,2723,1975,9,chessmetrics,8,Spassky,Karpov 1,Not champion
Rafael Vaganian,2719,1975,9,chessmetrics,9,Vaganian,Karpov 1,Not champion
Henrique Mecking,2714,1975,9,chessmetrics,10,Mecking,Karpov 1,Not champion
Anatoly Karpov,2808,1975,8,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2770,1975,8,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2746,1975,8,chessmetrics,3,Tal,Karpov 1,Not champion
Lev Polugaevsky,2739,1975,8,chessmetrics,4,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2733,1975,8,chessmetrics,5,Petrosian,Karpov 1,Not champion
Efim Geller,2724,1975,8,chessmetrics,6,Geller,Karpov 1,Not champion
Lajos Portisch,2721,1975,8,chessmetrics,7,Portisch,Karpov 1,Not champion
Rafael Vaganian,2721,1975,8,chessmetrics,8,Vaganian,Karpov 1,Not champion
Boris Spassky,2720,1975,8,chessmetrics,9,Spassky,Karpov 1,Not champion
Robert Hübner,2715,1975,8,chessmetrics,10,Hübner,Karpov 1,Not champion
Anatoly Karpov,2805,1975,7,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2777,1975,7,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2752,1975,7,chessmetrics,3,Tal,Karpov 1,Not champion
Lev Polugaevsky,2735,1975,7,chessmetrics,4,Polugaevsky,Karpov 1,Not champion
Tigran Petrosian,2734,1975,7,chessmetrics,5,Petrosian,Karpov 1,Not champion
Rafael Vaganian,2731,1975,7,chessmetrics,6,Vaganian,Karpov 1,Not champion
Lajos Portisch,2723,1975,7,chessmetrics,7,Portisch,Karpov 1,Not champion
Boris Spassky,2719,1975,7,chessmetrics,8,Spassky,Karpov 1,Not champion
Robert Hübner,2718,1975,7,chessmetrics,9,Hübner,Karpov 1,Not champion
Henrique Mecking,2714,1975,7,chessmetrics,10,Mecking,Karpov 1,Not champion
Anatoly Karpov,2804,1975,6,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2776,1975,6,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2750,1975,6,chessmetrics,3,Tal,Karpov 1,Not champion
Tigran Petrosian,2735,1975,6,chessmetrics,4,Petrosian,Karpov 1,Not champion
Lev Polugaevsky,2734,1975,6,chessmetrics,5,Polugaevsky,Karpov 1,Not champion
Rafael Vaganian,2730,1975,6,chessmetrics,6,Vaganian,Karpov 1,Not champion
Lajos Portisch,2728,1975,6,chessmetrics,7,Portisch,Karpov 1,Not champion
Robert Hübner,2719,1975,6,chessmetrics,8,Hübner,Karpov 1,Not champion
Boris Spassky,2719,1975,6,chessmetrics,9,Spassky,Karpov 1,Not champion
Henrique Mecking,2715,1975,6,chessmetrics,10,Mecking,Karpov 1,Not champion
Anatoly Karpov,2803,1975,5,chessmetrics,1,Karpov,Karpov 1,Champion
Viktor Korchnoi,2773,1975,5,chessmetrics,2,Korchnoi,Karpov 1,Not champion
Mikhail Tal,2750,1975,5,chessmetrics,3,Tal,Karpov 1,Not champion
