"","Ranking","Player","Rating","Year","Month"
"2499",9,"Viktor Korchnoi",2725,1984,3
"2500",10,"Vassily Smyslov",2724,1984,3
"2501",1,"Garry Kasparov",2844,1984,2
"2502",2,"Anatoly Karpov",2806,1984,2
"2503",3,"Lajos Portisch",2739,1984,2
"2504",4,"Alexander Beliavsky",2737,1984,2
"2505",5,"Rafael Vaganian",2736,1984,2
"2506",6,"Ulf Andersson",2735,1984,2
"2507",7,"Jan Timman",2731,1984,2
"2508",8,"Ljubomir Ljubojevic",2730,1984,2
"2509",9,"Viktor Korchnoi",2729,1984,2
"2510",10,"Vassily Smyslov",2723,1984,2
"2511",1,"Garry Kasparov",2841,1984,1
"2512",2,"Anatoly Karpov",2806,1984,1
"2513",3,"Lajos Portisch",2739,1984,1
"2514",4,"Ulf Andersson",2739,1984,1
"2515",5,"Rafael Vaganian",2737,1984,1
"2516",6,"Jan Timman",2733,1984,1
"2517",7,"Ljubomir Ljubojevic",2732,1984,1
"2518",8,"Alexander Beliavsky",2727,1984,1
"2519",9,"Vassily Smyslov",2726,1984,1
"2520",10,"Boris Spassky",2720,1984,1
"2521",1,"Garry Kasparov",2830,1983,12
"2522",2,"Anatoly Karpov",2807,1983,12
"2523",3,"Lajos Portisch",2739,1983,12
"2524",4,"Ulf Andersson",2737,1983,12
"2525",5,"Jan Timman",2735,1983,12
"2526",6,"Rafael Vaganian",2733,1983,12
"2527",7,"Ljubomir Ljubojevic",2733,1983,12
"2528",8,"Boris Spassky",2731,1983,12
"2529",9,"Vassily Smyslov",2726,1983,12
"2530",10,"Viktor Korchnoi",2719,1983,12
"2531",1,"Garry Kasparov",2841,1983,11
"2532",2,"Anatoly Karpov",2807,1983,11
"2533",3,"Ulf Andersson",2739,1983,11
"2534",4,"Rafael Vaganian",2736,1983,11
"2535",5,"Lajos Portisch",2735,1983,11
"2536",6,"Ljubomir Ljubojevic",2735,1983,11
"2537",7,"Boris Spassky",2730,1983,11
"2538",8,"Jan Timman",2725,1983,11
"2539",9,"Alexander Beliavsky",2724,1983,11
"2540",10,"Oleg Romanishin",2717,1983,11
"2541",1,"Garry Kasparov",2842,1983,10
"2542",2,"Anatoly Karpov",2806,1983,10
"2543",3,"Ulf Andersson",2743,1983,10
"2544",4,"Rafael Vaganian",2734,1983,10
"2545",5,"Boris Spassky",2732,1983,10
"2546",6,"Lajos Portisch",2731,1983,10
"2547",7,"Jan Timman",2728,1983,10
"2548",8,"Ljubomir Ljubojevic",2727,1983,10
"2549",9,"Alexander Beliavsky",2726,1983,10
"2550",10,"Oleg Romanishin",2717,1983,10
"2551",1,"Garry Kasparov",2838,1983,9
"2552",2,"Anatoly Karpov",2803,1983,9
"2553",3,"Ulf Andersson",2742,1983,9
"2554",4,"Rafael Vaganian",2732,1983,9
"2555",5,"Lajos Portisch",2730,1983,9
"2556",6,"Jan Timman",2729,1983,9
"2557",7,"Alexander Beliavsky",2729,1983,9
"2558",8,"Boris Spassky",2729,1983,9
"2559",9,"Ljubomir Ljubojevic",2725,1983,9
"2560",10,"Oleg Romanishin",2723,1983,9
"2561",1,"Garry Kasparov",2822,1983,8
"2562",2,"Anatoly Karpov",2804,1983,8
"2563",3,"Ulf Andersson",2742,1983,8
"2564",4,"Boris Spassky",2733,1983,8
"2565",5,"Ljubomir Ljubojevic",2731,1983,8
"2566",6,"Rafael Vaganian",2731,1983,8
"2567",7,"Jan Timman",2731,1983,8
"2568",8,"Alexander Beliavsky",2728,1983,8
"2569",9,"Lajos Portisch",2725,1983,8
"2570",10,"Oleg Romanishin",2722,1983,8
"2571",1,"Garry Kasparov",2826,1983,7
"2572",2,"Anatoly Karpov",2802,1983,7
"2573",3,"Ulf Andersson",2740,1983,7
"2574",4,"Boris Spassky",2732,1983,7
"2575",5,"Ljubomir Ljubojevic",2730,1983,7
"2576",6,"Alexander Beliavsky",2730,1983,7
"2577",7,"Jan Timman",2726,1983,7
"2578",8,"Lajos Portisch",2724,1983,7
"2579",9,"Lev Polugaevsky",2724,1983,7
"2580",10,"Rafael Vaganian",2724,1983,7
"2581",1,"Garry Kasparov",2827,1983,6
"2582",2,"Anatoly Karpov",2804,1983,6
"2583",3,"Ulf Andersson",2741,1983,6
"2584",4,"Alexander Beliavsky",2734,1983,6
"2585",5,"Boris Spassky",2733,1983,6
"2586",6,"Ljubomir Ljubojevic",2728,1983,6
"2587",7,"Lev Polugaevsky",2727,1983,6
"2588",8,"Jan Timman",2724,1983,6
"2589",9,"Lajos Portisch",2723,1983,6
"2590",10,"Mikhail Tal",2723,1983,6
"2591",1,"Garry Kasparov",2827,1983,5
"2592",2,"Anatoly Karpov",2805,1983,5
"2593",3,"Ulf Andersson",2743,1983,5
"2594",4,"Alexander Beliavsky",2735,1983,5
"2595",5,"Boris Spassky",2734,1983,5
"2596",6,"Ljubomir Ljubojevic",2730,1983,5
"2597",7,"Lev Polugaevsky",2726,1983,5
"2598",8,"Jan Timman",2725,1983,5
"2599",9,"Lajos Portisch",2725,1983,5
"2600",10,"Mikhail Tal",2721,1983,5
"2601",1,"Garry Kasparov",2828,1983,4
"2602",2,"Anatoly Karpov",2805,1983,4
"2603",3,"Alexander Beliavsky",2743,1983,4
"2604",4,"Ulf Andersson",2743,1983,4
"2605",5,"Boris Spassky",2734,1983,4
"2606",6,"Mikhail Tal",2729,1983,4
"2607",7,"Ljubomir Ljubojevic",2729,1983,4
"2608",8,"Lajos Portisch",2726,1983,4
"2609",9,"Jan Timman",2724,1983,4
"2610",10,"Lev Polugaevsky",2721,1983,4
"2611",1,"Garry Kasparov",2822,1983,3
"2612",2,"Anatoly Karpov",2805,1983,3
"2613",3,"Alexander Beliavsky",2751,1983,3
"2614",4,"Ulf Andersson",2742,1983,3
"2615",5,"Lajos Portisch",2736,1983,3
"2616",6,"Boris Spassky",2734,1983,3
"2617",7,"Mikhail Tal",2730,1983,3
"2618",8,"Ljubomir Ljubojevic",2728,1983,3
"2619",9,"Jan Timman",2724,1983,3
"2620",10,"Lev Polugaevsky",2721,1983,3
"2621",1,"Garry Kasparov",2822,1983,2
"2622",2,"Anatoly Karpov",2808,1983,2
"2623",3,"Alexander Beliavsky",2752,1983,2
"2624",4,"Ulf Andersson",2739,1983,2
"2625",5,"Lajos Portisch",2737,1983,2
"2626",6,"Mikhail Tal",2729,1983,2
"2627",7,"Ljubomir Ljubojevic",2727,1983,2
"2628",8,"Jan Timman",2726,1983,2
"2629",9,"Boris Spassky",2725,1983,2
"2630",10,"Lev Polugaevsky",2722,1983,2
"2631",1,"Garry Kasparov",2823,1983,1
"2632",2,"Anatoly Karpov",2810,1983,1
"2633",3,"Alexander Beliavsky",2754,1983,1
"2634",4,"Lajos Portisch",2737,1983,1
"2635",5,"Ulf Andersson",2735,1983,1
"2636",6,"Viktor Korchnoi",2730,1983,1
"2637",7,"Mikhail Tal",2729,1983,1
"2638",8,"Jan Timman",2726,1983,1
"2639",9,"Ljubomir Ljubojevic",2725,1983,1
"2640",10,"Boris Spassky",2723,1983,1
"2641",1,"Garry Kasparov",2821,1982,12
"2642",2,"Anatoly Karpov",2810,1982,12
"2643",3,"Alexander Beliavsky",2748,1982,12
"2644",4,"Lajos Portisch",2737,1982,12
"2645",5,"Ulf Andersson",2734,1982,12
"2646",6,"Viktor Korchnoi",2731,1982,12
"2647",7,"Ljubomir Ljubojevic",2726,1982,12
"2648",8,"Jan Timman",2726,1982,12
"2649",9,"Lev Polugaevsky",2724,1982,12
"2650",10,"Boris Spassky",2723,1982,12
"2651",1,"Garry Kasparov",2821,1982,11
"2652",2,"Anatoly Karpov",2811,1982,11
"2653",3,"Alexander Beliavsky",2749,1982,11
"2654",4,"Lajos Portisch",2739,1982,11
"2655",5,"Ulf Andersson",2734,1982,11
"2656",6,"Viktor Korchnoi",2733,1982,11
"2657",7,"Ljubomir Ljubojevic",2727,1982,11
"2658",8,"Jan Timman",2726,1982,11
"2659",9,"Mikhail Tal",2723,1982,11
"2660",10,"Boris Spassky",2723,1982,11
"2661",1,"Garry Kasparov",2810,1982,10
"2662",2,"Anatoly Karpov",2803,1982,10
"2663",3,"Alexander Beliavsky",2751,1982,10
"2664",4,"Viktor Korchnoi",2734,1982,10
"2665",5,"Lajos Portisch",2734,1982,10
"2666",6,"Ulf Andersson",2731,1982,10
"2667",7,"Jan Timman",2727,1982,10
"2668",8,"Mikhail Tal",2722,1982,10
"2669",9,"Boris Spassky",2722,1982,10
"2670",10,"Tigran Petrosian",2719,1982,10
"2671",1,"Garry Kasparov",2799,1982,9
"2672",2,"Anatoly Karpov",2798,1982,9
"2673",3,"Alexander Beliavsky",2746,1982,9
"2674",4,"Lajos Portisch",2742,1982,9
"2675",5,"Viktor Korchnoi",2737,1982,9
"2676",6,"Ulf Andersson",2728,1982,9
"2677",7,"Jan Timman",2727,1982,9
"2678",8,"Lev Polugaevsky",2719,1982,9
"2679",9,"Tigran Petrosian",2718,1982,9
"2680",10,"Mikhail Tal",2717,1982,9
"2681",1,"Anatoly Karpov",2801,1982,8
"2682",2,"Garry Kasparov",2799,1982,8
"2683",3,"Viktor Korchnoi",2749,1982,8
"2684",4,"Alexander Beliavsky",2747,1982,8
"2685",5,"Lajos Portisch",2738,1982,8
"2686",6,"Jan Timman",2728,1982,8
"2687",7,"Ulf Andersson",2727,1982,8
"2688",8,"Lev Polugaevsky",2723,1982,8
"2689",9,"Mikhail Tal",2719,1982,8
"2690",10,"Tigran Petrosian",2719,1982,8
"2691",1,"Anatoly Karpov",2799,1982,7
"2692",2,"Garry Kasparov",2798,1982,7
"2693",3,"Viktor Korchnoi",2750,1982,7
"2694",4,"Alexander Beliavsky",2747,1982,7
"2695",5,"Lajos Portisch",2738,1982,7
"2696",6,"Jan Timman",2731,1982,7
"2697",7,"Ulf Andersson",2726,1982,7
"2698",8,"Lev Polugaevsky",2721,1982,7
"2699",9,"Mikhail Tal",2718,1982,7
"2700",10,"Tigran Petrosian",2716,1982,7
"2701",1,"Anatoly Karpov",2800,1982,6
"2702",2,"Garry Kasparov",2797,1982,6
"2703",3,"Viktor Korchnoi",2753,1982,6
"2704",4,"Alexander Beliavsky",2747,1982,6
"2705",5,"Lajos Portisch",2736,1982,6
"2706",6,"Jan Timman",2730,1982,6
"2707",7,"Robert H<U+663C><U+3E63>bner",2722,1982,6
"2708",8,"Lev Polugaevsky",2721,1982,6
"2709",9,"Ulf Andersson",2721,1982,6
"2710",10,"Mikhail Tal",2717,1982,6
"2711",1,"Anatoly Karpov",2803,1982,5
"2712",2,"Garry Kasparov",2784,1982,5
"2713",3,"Viktor Korchnoi",2758,1982,5
"2714",4,"Alexander Beliavsky",2747,1982,5
"2715",5,"Jan Timman",2741,1982,5
"2716",6,"Lajos Portisch",2738,1982,5
"2717",7,"Ulf Andersson",2723,1982,5
"2718",8,"Robert H<U+663C><U+3E63>bner",2722,1982,5
"2719",9,"Lev Psakhis",2717,1982,5
"2720",10,"Mikhail Tal",2715,1982,5
"2721",1,"Anatoly Karpov",2804,1982,4
"2722",2,"Garry Kasparov",2786,1982,4
"2723",3,"Viktor Korchnoi",2767,1982,4
"2724",4,"Alexander Beliavsky",2751,1982,4
"2725",5,"Jan Timman",2743,1982,4
"2726",6,"Lajos Portisch",2739,1982,4
"2727",7,"Lev Psakhis",2718,1982,4
"2728",8,"Ulf Andersson",2718,1982,4
"2729",9,"Mikhail Tal",2717,1982,4
"2730",10,"Tigran Petrosian",2715,1982,4
"2731",1,"Anatoly Karpov",2804,1982,3
"2732",2,"Garry Kasparov",2786,1982,3
"2733",3,"Viktor Korchnoi",2764,1982,3
"2734",4,"Jan Timman",2743,1982,3
"2735",5,"Lajos Portisch",2739,1982,3
"2736",6,"Alexander Beliavsky",2738,1982,3
"2737",7,"Tigran Petrosian",2719,1982,3
"2738",8,"Mikhail Tal",2718,1982,3
"2739",9,"Ulf Andersson",2716,1982,3
"2740",10,"Lev Psakhis",2714,1982,3
"2741",1,"Anatoly Karpov",2816,1982,2
"2742",2,"Garry Kasparov",2786,1982,2
"2743",3,"Viktor Korchnoi",2765,1982,2
"2744",4,"Lajos Portisch",2739,1982,2
"2745",5,"Jan Timman",2737,1982,2
"2746",6,"Alexander Beliavsky",2736,1982,2
"2747",7,"Mikhail Tal",2720,1982,2
"2748",8,"Tigran Petrosian",2718,1982,2
"2749",9,"Ulf Andersson",2717,1982,2
"2750",10,"Boris Spassky",2713,1982,2
"2751",1,"Anatoly Karpov",2817,1982,1
"2752",2,"Garry Kasparov",2786,1982,1
"2753",3,"Viktor Korchnoi",2764,1982,1
"2754",4,"Jan Timman",2745,1982,1
"2755",5,"Lajos Portisch",2740,1982,1
"2756",6,"Alexander Beliavsky",2738,1982,1
"2757",7,"Mikhail Tal",2724,1982,1
"2758",8,"Ulf Andersson",2718,1982,1
"2759",9,"Tigran Petrosian",2715,1982,1
"2760",10,"Boris Spassky",2715,1982,1
"2761",1,"Anatoly Karpov",2817,1981,12
"2762",2,"Viktor Korchnoi",2766,1981,12
"2763",3,"Garry Kasparov",2765,1981,12
"2764",4,"Jan Timman",2746,1981,12
"2765",5,"Lajos Portisch",2740,1981,12
"2766",6,"Alexander Beliavsky",2740,1981,12
"2767",7,"Mikhail Tal",2721,1981,12
"2768",8,"Ulf Andersson",2720,1981,12
"2769",9,"Boris Spassky",2716,1981,12
"2770",10,"Tigran Petrosian",2714,1981,12
"2771",1,"Anatoly Karpov",2816,1981,11
"2772",2,"Viktor Korchnoi",2767,1981,11
"2773",3,"Garry Kasparov",2764,1981,11
"2774",4,"Jan Timman",2746,1981,11
"2775",5,"Lajos Portisch",2741,1981,11
"2776",6,"Alexander Beliavsky",2739,1981,11
"2777",7,"Mikhail Tal",2723,1981,11
"2778",8,"Ulf Andersson",2719,1981,11
"2779",9,"Boris Spassky",2716,1981,11
"2780",10,"Tigran Petrosian",2714,1981,11
"2781",1,"Anatoly Karpov",2812,1981,10
"2782",2,"Viktor Korchnoi",2777,1981,10
"2783",3,"Garry Kasparov",2766,1981,10
"2784",4,"Jan Timman",2745,1981,10
"2785",5,"Lajos Portisch",2739,1981,10
"2786",6,"Alexander Beliavsky",2728,1981,10
"2787",7,"Mikhail Tal",2722,1981,10
"2788",8,"Ulf Andersson",2721,1981,10
"2789",9,"Robert Hübner",2720,1981,10
"2790",10,"Lev Polugaevsky",2719,1981,10
"2791",1,"Anatoly Karpov",2813,1981,9
"2792",2,"Viktor Korchnoi",2779,1981,9
"2793",3,"Garry Kasparov",2763,1981,9
"2794",4,"Jan Timman",2744,1981,9
"2795",5,"Lajos Portisch",2741,1981,9
"2796",6,"Alexander Beliavsky",2729,1981,9
"2797",7,"Mikhail Tal",2723,1981,9
"2798",8,"Robert Hübner",2722,1981,9
"2799",9,"Boris Spassky",2720,1981,9
"2800",10,"Ulf Andersson",2720,1981,9
"2801",1,"Anatoly Karpov",2814,1981,8
"2802",2,"Viktor Korchnoi",2783,1981,8
"2803",3,"Garry Kasparov",2757,1981,8
"2804",4,"Jan Timman",2745,1981,8
"2805",5,"Lajos Portisch",2740,1981,8
"2806",6,"Alexander Beliavsky",2729,1981,8
"2807",7,"Boris Spassky",2721,1981,8
"2808",8,"Lev Polugaevsky",2720,1981,8
"2809",9,"Robert Hübner",2718,1981,8
"2810",10,"Mikhail Tal",2716,1981,8
"2811",1,"Anatoly Karpov",2814,1981,7
"2812",2,"Viktor Korchnoi",2787,1981,7
"2813",3,"Garry Kasparov",2758,1981,7
"2814",4,"Jan Timman",2745,1981,7
"2815",5,"Lajos Portisch",2739,1981,7
"2816",6,"Alexander Beliavsky",2731,1981,7
"2817",7,"Lev Polugaevsky",2723,1981,7
"2818",8,"Boris Spassky",2721,1981,7
"2819",9,"Mikhail Tal",2717,1981,7
"2820",10,"Robert Hübner",2716,1981,7
"2821",1,"Anatoly Karpov",2816,1981,6
"2822",2,"Viktor Korchnoi",2798,1981,6
"2823",3,"Garry Kasparov",2758,1981,6
"2824",4,"Lajos Portisch",2743,1981,6
"2825",5,"Jan Timman",2738,1981,6
"2826",6,"Alexander Beliavsky",2733,1981,6
"2827",7,"Boris Spassky",2724,1981,6
"2828",8,"Lev Polugaevsky",2722,1981,6
"2829",9,"Robert Hübner",2718,1981,6
"2830",10,"Ulf Andersson",2714,1981,6
"2831",1,"Anatoly Karpov",2816,1981,5
"2832",2,"Viktor Korchnoi",2800,1981,5
"2833",3,"Garry Kasparov",2759,1981,5
"2834",4,"Lajos Portisch",2738,1981,5
"2835",5,"Lev Polugaevsky",2735,1981,5
"2836",6,"Alexander Beliavsky",2733,1981,5
"2837",7,"Jan Timman",2732,1981,5
"2838",8,"Boris Spassky",2723,1981,5
"2839",9,"Robert Hübner",2717,1981,5
"2840",10,"Ulf Andersson",2714,1981,5
"2841",1,"Anatoly Karpov",2813,1981,4
"2842",2,"Viktor Korchnoi",2787,1981,4
"2843",3,"Garry Kasparov",2755,1981,4
"2844",4,"Jan Timman",2739,1981,4
"2845",5,"Lajos Portisch",2736,1981,4
"2846",6,"Alexander Beliavsky",2733,1981,4
"2847",7,"Lev Polugaevsky",2729,1981,4
"2848",8,"Boris Spassky",2723,1981,4
"2849",9,"Mikhail Tal",2721,1981,4
"2850",10,"Robert Hübner",2717,1981,4
"2851",1,"Anatoly Karpov",2812,1981,3
"2852",2,"Viktor Korchnoi",2784,1981,3
"2853",3,"Garry Kasparov",2759,1981,3
"2854",4,"Jan Timman",2740,1981,3
"2855",5,"Lajos Portisch",2735,1981,3
"2856",6,"Alexander Beliavsky",2734,1981,3
"2857",7,"Lev Polugaevsky",2728,1981,3
"2858",8,"Boris Spassky",2723,1981,3
"2859",9,"Mikhail Tal",2721,1981,3
"2860",10,"Ulf Andersson",2715,1981,3
"2861",1,"Anatoly Karpov",2814,1981,2
"2862",2,"Viktor Korchnoi",2775,1981,2
"2863",3,"Garry Kasparov",2750,1981,2
"2864",4,"Lajos Portisch",2743,1981,2
"2865",5,"Jan Timman",2741,1981,2
"2866",6,"Alexander Beliavsky",2734,1981,2
"2867",7,"Boris Spassky",2729,1981,2
"2868",8,"Lev Polugaevsky",2722,1981,2
"2869",9,"Robert Hübner",2715,1981,2
"2870",10,"Mikhail Tal",2713,1981,2
"2871",1,"Anatoly Karpov",2811,1981,1
"2872",2,"Viktor Korchnoi",2775,1981,1
"2873",3,"Lajos Portisch",2752,1981,1
"2874",4,"Garry Kasparov",2748,1981,1
"2875",5,"Jan Timman",2734,1981,1
"2876",6,"Alexander Beliavsky",2733,1981,1
"2877",7,"Boris Spassky",2733,1981,1
"2878",8,"Lev Polugaevsky",2722,1981,1
"2879",9,"Robert Hübner",2717,1981,1
"2880",10,"Mikhail Tal",2714,1981,1
"2881",1,"Anatoly Karpov",2812,1980,12
"2882",2,"Viktor Korchnoi",2779,1980,12
"2883",3,"Lajos Portisch",2757,1980,12
"2884",4,"Garry Kasparov",2748,1980,12
"2885",5,"Jan Timman",2735,1980,12
"2886",6,"Alexander Beliavsky",2732,1980,12
"2887",7,"Boris Spassky",2731,1980,12
"2888",8,"Lev Polugaevsky",2728,1980,12
"2889",9,"Robert Hübner",2719,1980,12
"2890",10,"Mikhail Tal",2718,1980,12
"2891",1,"Anatoly Karpov",2808,1980,11
"2892",2,"Viktor Korchnoi",2781,1980,11
"2893",3,"Garry Kasparov",2750,1980,11
"2894",4,"Lajos Portisch",2747,1980,11
"2895",5,"Jan Timman",2739,1980,11
"2896",6,"Lev Polugaevsky",2738,1980,11
"2897",7,"Alexander Beliavsky",2732,1980,11
"2898",8,"Boris Spassky",2731,1980,11
"2899",9,"Mikhail Tal",2721,1980,11
"2900",10,"Robert Hübner",2719,1980,11
"2901",1,"Anatoly Karpov",2826,1980,10
"2902",2,"Viktor Korchnoi",2785,1980,10
"2903",3,"Garry Kasparov",2752,1980,10
"2904",4,"Lajos Portisch",2748,1980,10
"2905",5,"Lev Polugaevsky",2741,1980,10
"2906",6,"Boris Spassky",2734,1980,10
"2907",7,"Jan Timman",2734,1980,10
"2908",8,"Alexander Beliavsky",2733,1980,10
"2909",9,"Mikhail Tal",2726,1980,10
"2910",10,"Robert Hübner",2717,1980,10
"2911",1,"Anatoly Karpov",2821,1980,9
"2912",2,"Viktor Korchnoi",2785,1980,9
"2913",3,"Garry Kasparov",2754,1980,9
"2914",4,"Lev Polugaevsky",2742,1980,9
"2915",5,"Lajos Portisch",2739,1980,9
"2916",6,"Boris Spassky",2730,1980,9
"2917",7,"Jan Timman",2729,1980,9
"2918",8,"Mikhail Tal",2727,1980,9
"2919",9,"Alexander Beliavsky",2727,1980,9
"2920",10,"Robert Hübner",2722,1980,9
"2921",1,"Anatoly Karpov",2823,1980,8
"2922",2,"Viktor Korchnoi",2788,1980,8
"2923",3,"Garry Kasparov",2755,1980,8
"2924",4,"Lajos Portisch",2748,1980,8
"2925",5,"Lev Polugaevsky",2743,1980,8
"2926",6,"Boris Spassky",2732,1980,8
"2927",7,"Mikhail Tal",2729,1980,8
"2928",8,"Jan Timman",2729,1980,8
"2929",9,"Alexander Beliavsky",2727,1980,8
"2930",10,"Tigran Petrosian",2711,1980,8
"2931",1,"Anatoly Karpov",2824,1980,7
"2932",2,"Viktor Korchnoi",2788,1980,7
"2933",3,"Garry Kasparov",2755,1980,7
"2934",4,"Lajos Portisch",2749,1980,7
"2935",5,"Lev Polugaevsky",2740,1980,7
"2936",6,"Boris Spassky",2732,1980,7
"2937",7,"Jan Timman",2730,1980,7
"2938",8,"Mikhail Tal",2729,1980,7
"2939",9,"Alexander Beliavsky",2726,1980,7
"2940",10,"Robert Hübner",2712,1980,7
"2941",1,"Anatoly Karpov",2819,1980,6
"2942",2,"Viktor Korchnoi",2788,1980,6
"2943",3,"Garry Kasparov",2752,1980,6
"2944",4,"Lajos Portisch",2750,1980,6
"2945",5,"Lev Polugaevsky",2740,1980,6
"2946",6,"Boris Spassky",2732,1980,6
"2947",7,"Mikhail Tal",2732,1980,6
"2948",8,"Alexander Beliavsky",2727,1980,6
"2949",9,"Jan Timman",2722,1980,6
"2950",10,"Bent Larsen",2716,1980,6
"2951",1,"Anatoly Karpov",2812,1980,5
"2952",2,"Viktor Korchnoi",2788,1980,5
"2953",3,"Garry Kasparov",2753,1980,5
"2954",4,"Lajos Portisch",2750,1980,5
"2955",5,"Lev Polugaevsky",2744,1980,5
"2956",6,"Mikhail Tal",2738,1980,5
"2957",7,"Boris Spassky",2732,1980,5
"2958",8,"Alexander Beliavsky",2726,1980,5
"2959",9,"Jan Timman",2719,1980,5
"2960",10,"Robert Hübner",2711,1980,5
"2961",1,"Anatoly Karpov",2814,1980,4
"2962",2,"Viktor Korchnoi",2788,1980,4
"2963",3,"Lajos Portisch",2752,1980,4
"2964",4,"Lev Polugaevsky",2746,1980,4
"2965",5,"Garry Kasparov",2740,1980,4
"2966",6,"Mikhail Tal",2740,1980,4
"2967",7,"Boris Spassky",2733,1980,4
"2968",8,"Jan Timman",2721,1980,4
"2969",9,"Bent Larsen",2718,1980,4
"2970",10,"Alexander Beliavsky",2717,1980,4
"2971",1,"Anatoly Karpov",2816,1980,3
"2972",2,"Viktor Korchnoi",2787,1980,3
"2973",3,"Lajos Portisch",2754,1980,3
"2974",4,"Mikhail Tal",2749,1980,3
"2975",5,"Garry Kasparov",2741,1980,3
"2976",6,"Lev Polugaevsky",2734,1980,3
"2977",7,"Boris Spassky",2731,1980,3
"2978",8,"Jan Timman",2722,1980,3
"2979",9,"Bent Larsen",2717,1980,3
"2980",10,"Robert Hübner",2716,1980,3
"2981",1,"Anatoly Karpov",2817,1980,2
"2982",2,"Viktor Korchnoi",2790,1980,2
"2983",3,"Lajos Portisch",2754,1980,2
"2984",4,"Mikhail Tal",2749,1980,2
"2985",5,"Garry Kasparov",2741,1980,2
"2986",6,"Lev Polugaevsky",2735,1980,2
"2987",7,"Boris Spassky",2731,1980,2
"2988",8,"Jan Timman",2723,1980,2
"2989",9,"Bent Larsen",2719,1980,2
"2990",10,"Robert Hübner",2716,1980,2
"2991",1,"Anatoly Karpov",2823,1980,1
"2992",2,"Viktor Korchnoi",2795,1980,1
"2993",3,"Mikhail Tal",2755,1980,1
"2994",4,"Lajos Portisch",2754,1980,1
"2995",5,"Lev Polugaevsky",2736,1980,1
"2996",6,"Boris Spassky",2731,1980,1
"2997",7,"Garry Kasparov",2729,1980,1
"2998",8,"Jan Timman",2726,1980,1
"2999",9,"Bent Larsen",2718,1980,1
"3000",10,"Tigran Petrosian",2717,1980,1
"3001",1,"Anatoly Karpov",2826,1979,12
"3002",2,"Viktor Korchnoi",2798,1979,12
"3003",3,"Mikhail Tal",2772,1979,12
"3004",4,"Lajos Portisch",2757,1979,12
"3005",5,"Lev Polugaevsky",2737,1979,12
"3006",6,"Boris Spassky",2732,1979,12
"3007",7,"Jan Timman",2727,1979,12
"3008",8,"Bent Larsen",2721,1979,12
"3009",9,"Robert H<U+663C><U+3E63>bner",2718,1979,12
"3010",10,"Tigran Petrosian",2717,1979,12
"3011",1,"Anatoly Karpov",2823,1979,11
"3012",2,"Viktor Korchnoi",2800,1979,11
"3013",3,"Mikhail Tal",2772,1979,11
"3014",4,"Lajos Portisch",2751,1979,11
"3015",5,"Lev Polugaevsky",2739,1979,11
"3016",6,"Boris Spassky",2735,1979,11
"3017",7,"Tigran Petrosian",2732,1979,11
"3018",8,"Jan Timman",2726,1979,11
"3019",9,"Garry Kasparov",2717,1979,11
"3020",10,"Robert H<U+663C><U+3E63>bner",2717,1979,11
"3021",1,"Anatoly Karpov",2824,1979,10
"3022",2,"Viktor Korchnoi",2801,1979,10
"3023",3,"Mikhail Tal",2771,1979,10
"3024",4,"Lajos Portisch",2751,1979,10
"3025",5,"Lev Polugaevsky",2739,1979,10
"3026",6,"Boris Spassky",2736,1979,10
"3027",7,"Tigran Petrosian",2734,1979,10
"3028",8,"Jan Timman",2727,1979,10
"3029",9,"Garry Kasparov",2715,1979,10
"3030",10,"Alexander Beliavsky",2714,1979,10
"3031",1,"Anatoly Karpov",2826,1979,9
"3032",2,"Viktor Korchnoi",2801,1979,9
"3033",3,"Mikhail Tal",2754,1979,9
"3034",4,"Lajos Portisch",2749,1979,9
"3035",5,"Boris Spassky",2735,1979,9
"3036",6,"Lev Polugaevsky",2734,1979,9
"3037",7,"Tigran Petrosian",2731,1979,9
"3038",8,"Jan Timman",2726,1979,9
"3039",9,"Garry Kasparov",2719,1979,9
"3040",10,"Alexander Beliavsky",2714,1979,9
"3041",1,"Anatoly Karpov",2826,1979,8
"3042",2,"Viktor Korchnoi",2800,1979,8
"3043",3,"Mikhail Tal",2755,1979,8
"3044",4,"Lajos Portisch",2749,1979,8
"3045",5,"Lev Polugaevsky",2739,1979,8
"3046",6,"Boris Spassky",2735,1979,8
"3047",7,"Tigran Petrosian",2730,1979,8
"3048",8,"Jan Timman",2724,1979,8
"3049",9,"Garry Kasparov",2720,1979,8
"3050",10,"Alexander Beliavsky",2713,1979,8
"3051",1,"Anatoly Karpov",2831,1979,7
"3052",2,"Viktor Korchnoi",2801,1979,7
"3053",3,"Mikhail Tal",2761,1979,7
"3054",4,"Lajos Portisch",2750,1979,7
"3055",5,"Lev Polugaevsky",2743,1979,7
"3056",6,"Boris Spassky",2735,1979,7
"3057",7,"Tigran Petrosian",2729,1979,7
"3058",8,"Garry Kasparov",2725,1979,7
"3059",9,"Jan Timman",2725,1979,7
"3060",10,"Rafael Vaganian",2713,1979,7
"3061",1,"Anatoly Karpov",2825,1979,6
"3062",2,"Viktor Korchnoi",2802,1979,6
"3063",3,"Mikhail Tal",2760,1979,6
"3064",4,"Lajos Portisch",2751,1979,6
"3065",5,"Lev Polugaevsky",2744,1979,6
"3066",6,"Boris Spassky",2737,1979,6
"3067",7,"Tigran Petrosian",2732,1979,6
