"","Ranking","Player","Rating","Year","Month"
"394",4,"Peter Leko",2764,2001,9
"395",5,"Alexander Morozevich",2760,2001,9
"396",6,"Vassily Ivanchuk",2752,2001,9
"397",7,"Michael Adams",2745,2001,9
"398",8,"Alexei Shirov",2741,2001,9
"399",9,"Evgeny Bareev",2740,2001,9
"400",10,"Veselin Topalov",2736,2001,9
"401",1,"Garry Kasparov",2862,2001,8
"402",2,"Vladimir Kramnik",2826,2001,8
"403",3,"Viswanathan Anand",2805,2001,8
"404",4,"Peter Leko",2764,2001,8
"405",5,"Alexander Morozevich",2761,2001,8
"406",6,"Vassily Ivanchuk",2753,2001,8
"407",7,"Michael Adams",2745,2001,8
"408",8,"Evgeny Bareev",2741,2001,8
"409",9,"Alexei Shirov",2741,2001,8
"410",10,"Veselin Topalov",2735,2001,8
"411",1,"Garry Kasparov",2862,2001,7
"412",2,"Viswanathan Anand",2823,2001,7
"413",3,"Vladimir Kramnik",2821,2001,7
"414",4,"Alexander Morozevich",2760,2001,7
"415",5,"Peter Leko",2759,2001,7
"416",6,"Vassily Ivanchuk",2754,2001,7
"417",7,"Michael Adams",2751,2001,7
"418",8,"Alexei Shirov",2744,2001,7
"419",9,"Evgeny Bareev",2741,2001,7
"420",10,"Boris Gelfand",2738,2001,7
"421",1,"Garry Kasparov",2859,2001,6
"422",2,"Vladimir Kramnik",2824,2001,6
"423",3,"Viswanathan Anand",2823,2001,6
"424",4,"Alexander Morozevich",2759,2001,6
"425",5,"Peter Leko",2758,2001,6
"426",6,"Vassily Ivanchuk",2755,2001,6
"427",7,"Michael Adams",2751,2001,6
"428",8,"Evgeny Bareev",2744,2001,6
"429",9,"Alexei Shirov",2743,2001,6
"430",10,"Boris Gelfand",2738,2001,6
"431",1,"Garry Kasparov",2859,2001,5
"432",2,"Viswanathan Anand",2822,2001,5
"433",3,"Vladimir Kramnik",2817,2001,5
"434",4,"Peter Leko",2759,2001,5
"435",5,"Alexander Morozevich",2759,2001,5
"436",6,"Vassily Ivanchuk",2755,2001,5
"437",7,"Michael Adams",2752,2001,5
"438",8,"Alexei Shirov",2749,2001,5
"439",9,"Evgeny Bareev",2742,2001,5
"440",10,"Boris Gelfand",2733,2001,5
"441",1,"Garry Kasparov",2861,2001,4
"442",2,"Viswanathan Anand",2824,2001,4
"443",3,"Vladimir Kramnik",2818,2001,4
"444",4,"Alexander Morozevich",2768,2001,4
"445",5,"Peter Leko",2760,2001,4
"446",6,"Vassily Ivanchuk",2756,2001,4
"447",7,"Michael Adams",2749,2001,4
"448",8,"Alexei Shirov",2748,2001,4
"449",9,"Evgeny Bareev",2739,2001,4
"450",10,"Boris Gelfand",2737,2001,4
"451",1,"Garry Kasparov",2855,2001,3
"452",2,"Viswanathan Anand",2824,2001,3
"453",3,"Vladimir Kramnik",2816,2001,3
"454",4,"Alexander Morozevich",2767,2001,3
"455",5,"Peter Leko",2763,2001,3
"456",6,"Vassily Ivanchuk",2756,2001,3
"457",7,"Alexei Shirov",2751,2001,3
"458",8,"Michael Adams",2746,2001,3
"459",9,"Evgeny Bareev",2739,2001,3
"460",10,"Boris Gelfand",2737,2001,3
"461",1,"Garry Kasparov",2854,2001,2
"462",2,"Viswanathan Anand",2824,2001,2
